,MAGLIE,CAMICIE,GONNE,PANTALONI,VESTITI,GIACCHE
2019-08-09,8,8,2,8,16,6
2019-08-10,9,12,1,9,26,3
2019-08-11,7,10,1,9,12,3
2019-08-12,6,11,2,5,14,3
2019-08-13,17,13,2,12,12,2
2019-08-14,10,10,1,11,20,5
2019-08-15,6,5,0,4,12,4
2019-08-16,6,13,0,10,14,3
2019-08-17,5,12,0,6,16,11
2019-08-18,11,5,1,6,17,5
2019-08-19,10,15,0,5,24,10
2019-08-20,7,18,0,11,19,4
2019-08-21,5,7,1,8,11,3
2019-08-22,8,13,0,5,16,5
2019-08-23,5,18,2,10,25,7
2019-08-24,2,10,0,16,13,3
2019-08-25,8,7,1,4,17,4
2019-08-26,11,6,2,7,20,5
2019-08-27,7,9,0,9,15,7
2019-08-28,9,19,2,8,16,9
2019-08-29,8,10,0,12,12,2
2019-08-30,8,13,1,13,18,6
2019-08-31,18,15,0,20,40,10
2019-09-01,5,16,0,7,21,8
2019-09-02,11,13,0,11,13,7
2019-09-03,3,4,1,2,11,3
2019-09-04,4,25,1,13,20,13
2019-09-05,14,13,0,18,14,6
2019-09-06,15,9,2,11,15,15
2019-09-07,32,35,6,39,24,27
2019-09-08,27,27,3,22,28,23
2019-09-09,16,17,0,21,9,6
2019-09-10,11,10,1,14,14,15
2019-09-11,17,12,2,18,23,11
2019-09-12,11,15,0,14,19,22
2019-09-13,10,19,3,17,22,15
2019-09-14,36,25,1,28,25,20
2019-09-15,24,32,2,31,26,20
2019-09-16,19,9,2,17,14,13
2019-09-17,15,15,3,13,15,11
2019-09-18,16,19,1,17,15,11
2019-09-19,27,18,2,28,11,18
2019-09-20,19,24,5,14,15,23
2019-09-21,34,21,0,25,23,21
2019-09-22,17,25,2,35,21,33
2019-09-23,20,8,1,22,13,13
2019-09-24,29,14,2,18,15,18
2019-09-25,15,11,1,14,21,17
2019-09-26,12,18,1,18,15,23
2019-09-27,25,16,1,7,18,14
2019-09-28,23,22,1,22,26,22
2019-09-29,18,19,2,17,28,16

